Rk,Player,School,Conf,Cmp,Passing Attempts,Pct,Passing Yards,Y/A,AY/A,Passing TD,Interceptions,Rate,Rushing Attempts,Rushing Yards,Rushing Avg,Rushing TD,group
1,Marcus Mariota,Oregon,Pac-12,254,372,68.3,3773,10.1,11.9,38,2,186.1,117,669,5.7,14,Big Five
4,Blake Sims,Alabama,SEC,230,355,64.8,3250,9.2,9.7,26,7,161.9,73,321,4.4,6,Big Five
5,Jake Waters,Kansas State,Big 12,231,349,66.2,3163,9.1,9.4,20,6,157.8,139,471,3.4,8,Big Five
6,Connor Cook,Michigan State,Big Ten,188,323,58.2,2900,9,9.5,22,6,152.4,45,69,1.5,2,Big Five
7,J.T. Barrett,Ohio State,Big Ten,203,314,64.6,2834,9,9.8,34,10,169.8,171,938,5.5,11,Big Five
9,Bryce Petty,Baylor,Big 12,234,377,62.1,3305,8.8,9.4,26,6,155.3,77,137,1.8,5,Big Five
11,Bo Wallace,Mississippi,SEC,219,358,61.2,3108,8.7,8.5,22,11,148.2,107,218,2,5,Big Five
12,Dak Prescott,Mississippi State,SEC,210,344,61,2987,8.7,8.8,24,10,151.2,195,939,4.8,13,Big Five
13,Gary Nova,Rutgers,Big Ten,178,307,58,2667,8.7,8.2,20,12,144.6,43,-35,-0.8,3,Big Five
14,Brad Kayaa,Miami (FL),ACC,202,345,58.6,2962,8.6,8.6,25,11,148.2,24,-124,-5.2,1,Big Five
16,Cody Kessler,Southern California,Pac-12,292,413,70.7,3505,8.5,9.8,36,4,168.8,52,-149,-2.9,2,Big Five
17,Nick Marshall,Auburn,SEC,163,271,60.1,2315,8.5,8.7,18,7,148.7,146,780,5.3,11,Big Five
18,Jameis Winston,Florida State,ACC,276,422,65.4,3559,8.4,7.8,24,17,147,50,82,1.6,3,Big Five
19,Patrick Mahomes,Texas Tech,Big 12,105,185,56.8,1547,8.4,9.1,16,4,151.2,47,98,2.1,0,Big Five
21,Kenny Hill,Texas A&M,SEC,214,321,66.7,2649,8.3,8.6,23,8,154.6,52,156,3,0,Big Five
22,Brett Hundley,UCLA,Pac-12,259,368,70.4,3019,8.2,8.7,21,5,155.4,148,548,3.7,8,Big Five
27,Trevone Boykin,Texas Christian,Big 12,279,462,60.4,3714,8,8.7,30,7,146.3,141,659,4.7,8,Big Five
28,Chad Voytik,Pittsburgh,ACC,158,252,62.7,2011,8,7.9,15,7,143.8,102,426,4.2,3,Big Five
29,Dylan Thompson,South Carolina,SEC,248,417,59.5,3280,7.9,7.8,24,11,139.3,60,-53,-0.9,3,Big Five
31,Tommy Armstrong Jr,Nebraska,Big Ten,152,294,51.7,2314,7.9,7.5,19,11,131.7,133,664,5,5,Big Five
32,Trevor Knight,Oklahoma,Big 12,162,279,58.1,2197,7.9,7.4,14,9,134.3,66,340,5.2,5,Big Five
34,Jared Goff,California,Pac-12,315,509,61.9,3964,7.8,8.5,35,7,147.2,55,-44,-0.8,0,Big Five
35,Clint Trickett,West Virginia,Big 12,281,419,67.1,3285,7.8,7.6,18,10,142.3,42,-106,-2.5,1,Big Five
37,Kevin Hogan,Stanford,Pac-12,218,333,65.5,2603,7.8,7.8,17,8,143.2,84,245,2.9,5,Big Five
39,Mike Bercovici,Arizona State,Pac-12,115,186,61.8,1445,7.8,8.1,12,4,144.1,26,16,0.6,0,Big Five
43,Hutson Mason,Georgia,SEC,178,263,67.7,2019,7.7,8.5,20,4,154.2,40,14,0.4,4,Big Five
44,Lucas Falk,Washington State,Pac-12,156,243,64.2,1883,7.7,7.5,13,7,141.2,36,-70,-1.9,1,Big Five
45,Taylor Kelly,Arizona State,Pac-12,141,244,57.8,1874,7.7,8.4,20,5,145.3,86,232,2.7,3,Big Five
49,Will Gardner,Louisville,ACC,127,221,57.5,1669,7.6,8,12,3,136.1,22,-106,-4.8,0,Big Five
50,Mitch Leidner,Minnesota,Big Ten,101,206,49,1540,7.5,6.7,10,8,120.1,117,461,3.9,10,Big Five
51,Connor Halliday,Washington State,Pac-12,354,526,67.3,3873,7.4,7.6,32,11,145,29,-131,-4.5,0,Big Five
54,Davis Webb,Texas Tech,Big 12,211,345,61.2,2539,7.4,7.1,24,13,138.4,17,15,0.9,1,Big Five
55,Daxx Garman,Oklahoma State,Big 12,152,277,54.9,2041,7.4,6.3,12,12,122.4,60,-16,-0.3,1,Big Five
56,Wes Lunt,Illinois,Big Ten,149,233,63.9,1729,7.4,8,14,3,143.5,16,-80,-5,0,Big Five
57,Marquise Williams,North Carolina,ACC,245,391,62.7,2870,7.3,7.3,20,9,136.6,178,737,4.1,12,Big Five
58,Cyler Miles,Washington,Pac-12,194,291,66.7,2129,7.3,8,16,3,144.2,109,280,2.6,4,Big Five
65,Tyler Murphy,Boston College,ACC,120,211,56.9,1526,7.2,6.1,11,10,125.3,170,1079,6.3,10,Big Five
67,Jake Rudock,Iowa,Big Ten,211,337,62.6,2404,7.1,7.4,16,5,135.2,65,154,2.4,3,Big Five
68,Anu Solomon,Arizona,Pac-12,285,491,58,3458,7,7.5,27,7,132.5,114,259,2.3,1,Big Five
69,Sean Mannion,Oregon State,Pac-12,282,453,62.3,3164,7,6.9,15,8,128.3,48,-306,-6.4,1,Big Five
73,Travis Wilson,Utah,Pac-12,173,287,60.3,2012,7,7.6,17,4,135.9,103,218,2.1,2,Big Five
74,Mike Cummings,Kansas,Big 12,137,244,56.1,1715,7,6.7,9,6,122.4,67,23,0.3,4,Big Five
76,Patrick Towles,Kentucky,SEC,225,393,57.3,2718,6.9,6.6,14,9,122.5,145,303,2.1,6,Big Five
77,Anthony Jennings,Louisiana State,SEC,104,213,48.8,1460,6.9,6.3,10,7,115.3,100,284,2.8,0,Big Five
79,Jacoby Brissett,North Carolina State,ACC,206,344,59.9,2344,6.8,7.4,22,5,135.3,110,498,4.5,3,Big Five
84,Brandon Allen,Arkansas,SEC,178,316,56.3,2125,6.7,7.2,18,5,128.4,36,-13,-0.4,2,Big Five
85,Devin Gardner,Michigan,Big Ten,172,281,61.2,1892,6.7,5,10,15,118.8,98,258,2.6,4,Big Five
87,Tyrone Swoopes,Texas,Big 12,211,359,58.8,2352,6.6,6,13,10,120.2,103,294,2.9,3,Big Five
90,Maty Mauk,Missouri,SEC,209,395,52.9,2551,6.5,6.4,23,11,120.8,97,335,3.5,1,Big Five
92,Sefo Liufau,Colorado,Pac-12,325,498,65.3,3194,6.4,6.2,28,15,131.7,70,126,1.8,0,Big Five
93,C.J. Brown,Maryland,Big Ten,174,327,53.2,2083,6.4,5.9,13,9,114.3,148,569,3.8,7,Big Five
100,Greyson Lambert,Virginia,ACC,154,261,59,1632,6.3,5.1,10,11,115.7,35,-6,-0.2,2,Big Five
101,Justin Worley,Tennessee,SEC,157,252,62.3,1579,6.3,5.8,12,8,124.3,45,-105,-2.3,3,Big Five
102,Michael Brewer,Virginia Tech,ACC,248,417,59.5,2598,6.2,5.5,17,14,118.5,75,-22,-0.3,2,Big Five
110,Christian Hackenberg,Penn State,Big Ten,236,434,54.4,2606,6,4.8,8,15,104,85,-94,-1.1,0,Big Five
111,Sam Richardson,Iowa State,Big 12,254,452,56.2,2669,5.9,5.8,18,9,115,125,421,3.4,3,Big Five
