State Code,State,Abbrevation,Region,Crime Property,CP
1,alabama,AL,south,425.2,377.8
54,Alaska,AK,west,688,638.8
2,arizona,AZ,west,501.4,408.1
3,arkansas,AR,south,551.6,505.3
8,DC,DC,south,1508.4,1330.2
9,florida,FL,south,712,542.4
10,georgia,GA,south,471,403.3
52,Hawaii,HI,west,281.2,262.7
15,kansas,KS,midwest,425,369.1
17,louisiana,LA,south,697.8,549
24,missouri,MO,midwest,298.6,269.7
27,nevada,NV,west,741.6,660.6
30,new mexico,NM,west,643.2,588.9
32,north carolina,NC,south,475.6,363.4
34,Ohio,OH,midwest,350.3,315.2
36,oregon,OR,west,280.3,252
39,south carolina,SC,south,765.5,597.7
41,tennessee,TN,south,760.2,613.3
42,texas,TX,south,516.3,450.3
46,washington,WA,west,345.9,313.8
