State Code,State,Abbrevation,Region,Education,Education2010
1,Alabama,AL,south,736,726.00
54,Alaska,AK,west,132,131.00
2,Arizona,AZ,west,1089,1191.00
3,Arkansas,AR,south,459,467.00
8,DC,DC,south,74,71.00
9,florida,FL,south,654,2783.00
10,Georgia,GA,south,1585,1673.00
52,Hawaii,HI,west,182,188.00
15,Kansas,KS,midwest,463,460.00
17,Louisiana,LA,south,721,722.00
24,Missouri,MO,midwest,909,903.00
27,Nevada,NV,west,424,466.00
30,New Mexico,NM,west,318,314.00
32,North Carolina,NC,south,1404,1456.00
34,Ohio,OH,midwest,1828,1787.00
36,Oregon,OR,west,547,544.00
39,South Carolina,SC,south,707,714.00
41,Tennessee,TN,south,954,969.00
42,Texas,TX,south,4488,4820.00
46,Washington,WA,west,1014,996.00

